id,date,intime,outtime,overtime
1,06/1/2017,8:56,16:06,0
2,06/02/17,8:53,16:05,0
3,06/03/17,8:56,16:06,0
4,06/04/2017,8:55,16:15,0
5,06/05/17,8:57,16:17,0
6,06/06/2017,8:55,16:18,0
7,06/07/2017,8:52,16:11,0
8,06/08/2017,8:55,16:13,0
9,06/09/2017,8:58,16:16,0
10,06/10/2017,8:58,16:08,0
11,06/11/2017,8:58,16:20,0
12,06/12/2017,8:50,16:07,0
13,06/13/2017,8:57,16:00,0
14,06/14/2017,8:52,16:07,0
15,06/15/2017,8:52,16:07,0
16,06/16/2017,8:54,16:10,0
17,06/17/2017,8:55,16:05,0
18,06/18/2017,8:54,16:22,0
19,06/09/2017,8:53,16:17,0
20,06/20/2017,8:58,16:21,0
21,06/21/2017,8:57,16:19,0
22,06/22/2017,8:57,16:02,0
23,06/23/2017,8:52,16:09,0
24,06/24/2017,8:56,16:24,0
25,06/25/2017,8:55,16:12,0
26,06/26/2017,8:52,16:00,0
27,06/27/2017,8:51,16:09,0
28,06/28/2017,8:53,16:19,0
29,06/29/2017,8:51,16:00,0
30,06/30/2017,8:56,16:20,0
